"state.x","total_homeless","sheltered_total","unsheltered","census_full","poverty_rate","median_income","unemployment_rate","median_rent","rent_burden_severe","owner_occupied","renter_occupied","college_educated","disability_rate","veteran_population","foreign_born","total_population","state.y","homelessness_rate","severe_rent_burden_rate","rental_vacancy_rate"
"AK",2686,2207,479,"Alaska",10.2,95665,6,6107,3.4,274045,182292,24307,102558,-888888888,NA,740133,"02",36.2907747661569,0.00186513944660215,38.3439192685639
"AL",4601,1903,2698,"Alabama",15.2,66659,4.2,91938,7,2059528,1461271,245087,846715,-888888888,9.4,5157699,"01",8.92064465181082,0.000479035031831878,31.737020714082
"AR",2783,1449,1334,"Arkansas",15.5,62106,3.8,50250,7.8,1246754,836697,139258,548661,-888888888,9.4,3088354,"05",9.01127267146189,0.000932237118096515,32.5384654738414
"AZ",14737,7446,7291,"Arizona",11.7,81486,4.6,100355,4.4,2982475,2020822,315654,1044012,-888888888,9.6,7582384,"04",19.4358397042408,0.000217733179864431,34.0141965904127
"CA",187084,63110,123974,"California",11.8,100149,5.9,416427,1.5,13797638,7701876,1757199,4719489,-888888888,9.2,39431263,"06",47.4456017297747,1.94757744736477e-05,45.4759691567577
"CO",18715,13924,4791,"Colorado",9.6,97113,4.3,68021,2.2,2479892,1635345,154710,700390,-888888888,9.2,5957494,"08",31.4142154402505,0.000134528188241625,30.9233546857118
"CT",3410,2836,574,"Connecticut",10.2,96049,4.9,45242,1.6,1455235,970236,116265,446426,-888888888,9.3,3675069,"09",9.27873735159802,0.000164908331581182,34.0020282612381
"DC",5616,4716,900,"District of Columbia",17.3,109707,5.6,18141,2.7,329687,134836,24435,87510,-888888888,10.1,702250,"11",79.9715201139195,0.00200243258476965,33.8521893912424
"DE",1358,1120,238,"Delaware",9.6,87534,5.1,13405,2.9,412304,304189,38034,145126,-888888888,8.7,1051917,"10",12.909763793151,0.000953354657794989,31.8869264400138
"FL",31362,14494,16868,"Florida",12,77735,4.6,321535,3.7,9141675,6220116,933850,3164477,-888888888,8.2,23372215,"12",13.418497134311,5.94844211908588e-05,34.2732770514048
"GA",12290,5617,6673,"Georgia",12.6,79991,4.7,149245,3.8,4220732,2798409,458634,1440190,-888888888,9.5,11180878,"13",10.9919811306411,0.000135791444352845,37.2219158459649
"HI",11637,7595,4042,"Hawaii",10,100745,3.4,13070,3.2,493151,304026,40994,183071,-888888888,8,1446146,"15",80.4690536086951,0.00105254155894562,44.8757594323118
"IA",2631,2167,464,"Iowa",11.3,75501,3.2,35618,3,1343422,958213,93586,412234,-888888888,9.9,3241488,"19",8.11664272704388,0.000313082790569529,28.994492652757
